"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","입소정원","자격소유인원수","총인원수","인허가번호","상세영업상태명"
"1239","둔촌푸르지오아파트경로당","서울특별시 강동구 둔촌동 둔촌푸르지오아파트 ","","20101223","운영중","","","","","","","40","","","3240000201000040","운영"
"1238","구립 구암경로당","서울특별시 강동구 암사동 446-25번지 ","","20100405","운영중","","","","","","","0","","","3240000201000032","운영"
"1237","강일리버파크9단지 경로당","서울특별시 강동구 강일동 ","","20100219","운영중","","","","","","","50","","","3240000201000031","운영"
"1236","고덕리엔파크2단지경로당","서울특별시 강동구 강일동 717번지 고덕리엔파크 2단지 ","","20111007","운영중","","","","","","","48","","","3240000201100027","운영"
"1235","고덕리엔파크3단지경로당","서울특별시 강동구 상일동 490번지 고덕리엔파크 ","","20110831","운영중","","","","","","","60","","","3240000201100024","운영"
"1234","고덕리엔파크1단지경로당","서울특별시 강동구 강일동 707번지 고덕리엔파크1단지 아파트 ","","20110614","운영중","","","","","","","35","","","3240000201100019","운영"
"1233","암사한솔A경로당","서울특별시 강동구 암사동 419번지 ","","20020829","운영중","","","","","","","27","","","3240000201100009","운영"
"1232","성내천경로당","서울특별시 강동구 성내동 558-8번지 1층 ","","20061108","운영중","","","","","","","38","","","3240000201100033","운영"
"1231","신일경로당","서울특별시 관악구 신림동 419-30번지 ","","19890301","운영중","","","","","","","120","0","0","3200000198900004","운영"
"1230","국사봉경로당","서울특별시 관악구 봉천동 622-70번지 ","","19890227","운영중","","","","","","","130","0","0","3200000198900003","운영"
"1229","덕진경로당","서울특별시 관악구 봉천동 1613-19번지 ","","19890911","운영중","","","","","","","0","0","0","3200000198900002","운영"
"1228","건영2차(아)경로당","서울특별시 관악구 신림동 721-2번지 ","","19880105","운영중","","","","","","","40","0","0","3200000198800001","운영"
"1227","봉천11동 경로당","서울특별시 관악구 봉천동 1642-4번지 ","","19861020","운영중","","","","","","","100","0","0","3200000198600003","운영"
"1226","서림경로당","서울특별시 관악구 신림동 103-142번지 ","","19850607","운영중","","","","","","","90","0","0","3200000198500007","운영"
"1225","신본경로당","서울특별시 관악구 신림동 1510-6번지 ","","19850504","운영중","","","","","","","60","0","0","3200000198500006","운영"
"1224","관수경로당","서울특별시 관악구 남현동 602-196번지 ","","19850501","운영중","","","","","","","70","0","0","3200000198500005","운영"
"1223","백설경로당","서울특별시 관악구 봉천동 1606-11번지 ","","19850504","운영중","","","","","","","70","0","0","3200000198500004","운영"
"1222","봉천일동 경로당","서울특별시 관악구 봉천동 662-109번지 ","","19850501","운영중","","","","","","","4085","0","0","3200000198500001","운영"
"1221","신팔경로당","서울특별시 관악구 신림동 560-6번지 ","","19840926","운영중","","","","","","","24","0","0","3200000198400004","운영"
"1220","건영1차(아)경로당","서울특별시 관악구 신림동 746-43번지 ","","19841016","운영중","","","","","","","35","0","0","3200000198400003","운영"
"1219","국지경로당","서울특별시 관악구 봉천동 622-70번지 ","","19840226","운영중","","","","","","","60","0","0","3200000198400002","운영"
"1218","삼성래미안아파트경로당","서울특별시 도봉구 쌍문동 725번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800007","운영"
"1217","신창경로당","서울특별시 관악구 봉천동 1678-1번지 ","","19840901","운영중","","","","","","","70","0","0","3200000198400001","운영"
"1216","장수경로당","서울특별시 관악구 봉천동 1512-9번지 ","","19821009","운영중","","","","","","","50","0","0","3200000198200003","운영"
"1215","봉덕경로당","서울특별시 관악구 봉천동 281번지 ","","19770101","운영중","","","","","","","0","0","0","3200000197700004","운영"
"1214","101경로당","서울특별시 관악구 봉천동 478-20번지 ","","19770101","운영중","","","","","","","20","0","0","3200000197700003","운영"
"1213","강남(아)경로당","서울특별시 관악구 신림동 1644번지 ","","19750101","운영중","","","","","","","85","0","0","3200000197500001","운영"
