Unnamed: 0,역이름,y,x,호선,geometry,시도,구,동
241,마석,37.652782,127.311767,['경춘선'],POINT (127.311767 37.652782),경기도,남양주시,화도읍
242,대성리,37.684071,127.379319,['경춘선'],POINT (127.379319 37.684071),경기도,가평군,청평면
243,청평,37.735488,127.42661,['경춘선'],POINT (127.42661 37.735488),경기도,가평군,청평면
244,상천,37.770246,127.454821,['경춘선'],POINT (127.454821 37.770246),경기도,가평군,청평면
245,가평,37.814536,127.510739,['경춘선'],POINT (127.510739 37.814536),경기도,가평군,가평읍
246,굴봉산,37.832067,127.557695,['경춘선'],POINT (127.557695 37.832067),강원특별자치도,춘천시,남산면
247,백양리,37.830779,127.58933,['경춘선'],POINT (127.58933 37.830779),강원특별자치도,춘천시,남산면
248,강촌,37.805723,127.634146,['경춘선'],POINT (127.634146 37.805723),강원특별자치도,춘천시,남산면
249,춘천,37.885054,127.717023,['경춘선'],POINT (127.717023 37.885054),강원특별자치도,춘천시,근화동
250,봉명,36.801215,127.135763,['01호선'],POINT (127.135763 36.801215),충청남도,천안시,동남구
252,아산,36.792053,127.104361,['01호선'],POINT (127.104361 36.792053),충청남도,아산시,배방읍
253,배방,36.777629,127.052991,['01호선'],POINT (127.052991 36.777629),충청남도,아산시,배방읍
254,온양온천,36.780483,127.003249,['01호선'],POINT (127.003249 36.780483),충청남도,아산시,온천동
255,신창,36.769502,126.951108,['01호선'],POINT (126.951108 36.769502),충청남도,아산시,신창면
256,선바위,37.451673,127.002303,['04호선'],POINT (127.002303 37.451673),경기도,과천시,과천동
257,경마공원,37.443885,127.007888,['04호선'],POINT (127.007888 37.443885),경기도,과천시,과천동
258,대공원,37.435675,127.006523,['04호선'],POINT (127.006523 37.435675),경기도,과천시,막계동
259,과천,37.433021,126.996568,['04호선'],POINT (126.996568 37.433021),경기도,과천시,별양동
260,정부과천청사,37.426513,126.98978,['04호선'],POINT (126.98978 37.426513),경기도,과천시,중앙동
261,인덕원,37.401553,126.976715,['04호선'],POINT (126.976715 37.401553),경기도,안양시,동안구
262,평촌,37.394287,126.963883,['04호선'],POINT (126.963883 37.394287),경기도,안양시,동안구
263,범계,37.389793,126.950806,['04호선'],POINT (126.950806 37.389793),경기도,안양시,동안구
264,삼동,37.409522,127.20336,['경강선'],POINT (127.20336 37.409522),경기도,광주시,삼동
265,경기광주,37.399907,126.630347,['경강선'],POINT (126.630347 37.399907),인천광역시,연수구,송도동
266,초월,37.374419,127.299,['경강선'],POINT (127.299 37.374419),경기도,광주시,초월읍
267,곤지암,37.351315,127.34674,['경강선'],POINT (127.34674 37.351315),경기도,광주시,곤지암읍
268,신둔도예촌,37.317185,127.40476,['경강선'],POINT (127.40476 37.317185),경기도,이천시,신둔면
269,이천,37.265579,127.44226,['경강선'],POINT (127.44226 37.265579),경기도,이천시,율현동
270,부발,37.260192,127.490277,['경강선'],POINT (127.490277 37.260192),경기도,이천시,부발읍
271,세종대왕릉,37.295309,127.570938,['경강선'],POINT (127.570938 37.295309),경기도,여주시,세종대왕면
272,여주,37.282701,127.628607,['경강선'],POINT (127.628607 37.282701),경기도,여주시,교동
273,구로,37.503039,126.881966,['01호선'],POINT (126.881966 37.503039),서울특별시,구로구,구로동
274,금천구청,37.455626,126.89398,['01호선'],POINT (126.89398 37.455626),서울특별시,금천구,시흥동
275,석수,37.435047,126.902295,['01호선'],POINT (126.902295 37.435047),경기도,안양시,만안구
276,관악,37.419232,126.908706,['01호선'],POINT (126.908706 37.419232),경기도,안양시,만안구
277,안양,37.401592,126.922874,['01호선'],POINT (126.922874 37.401592),경기도,안양시,만안구
278,명학,37.384653,126.935433,['01호선'],POINT (126.935433 37.384653),경기도,안양시,만안구
279,군포,37.35356,126.948462,['01호선'],POINT (126.948462 37.35356),경기도,군포시,당동
280,의왕,37.320852,126.948217,['01호선'],POINT (126.948217 37.320852),경기도,의왕시,삼동
281,화서,37.283862,126.989627,['01호선'],POINT (126.989627 37.283862),경기도,수원시,팔달구
282,독산,37.466613,126.889249,['01호선'],POINT (126.889249 37.466613),서울특별시,금천구,가산동
283,세류,37.245025,127.013222,['01호선'],POINT (127.013222 37.245025),경기도,수원시,권선구
284,병점,37.207503,127.032731,['01호선'],POINT (127.032731 37.207503),경기도,화성시,진안동
285,세마,37.187533,127.04318,['01호선'],POINT (127.04318 37.187533),경기도,오산시,세교동
286,오산대,37.168953,127.063197,['01호선'],POINT (127.063197 37.168953),경기도,오산시,수청동
287,오산,37.145885,127.06672,['01호선'],POINT (127.06672 37.145885),경기도,오산시,오산동
288,진위,37.109447,127.062278,['01호선'],POINT (127.062278 37.109447),경기도,평택시,진위면
289,송탄,37.075696,127.054301,['01호선'],POINT (127.054301 37.075696),경기도,평택시,신장동
290,서정리,37.056496,127.052819,['01호선'],POINT (127.052819 37.056496),경기도,평택시,서정동
292,평택,36.990726,127.085159,['01호선'],POINT (127.085159 36.990726),경기도,평택시,평택동
