,역이름,y,x,호선,geometry
224,일산,37.682077,126.769846,"['경의선', '서해선']",POINT (126.769846 37.682077)
225,탄현,37.694023,126.761086,['경의선'],POINT (126.761086 37.694023)
226,야당,37.712327,126.761356,['경의선'],POINT (126.761356 37.712327)
227,운정,37.725826,126.767257,['경의선'],POINT (126.767257 37.725826)
228,금릉,37.751322,126.765347,['경의선'],POINT (126.765347 37.751322)
229,금촌,37.766217,126.774644,['경의선'],POINT (126.774644 37.766217)
230,월롱,37.796188,126.792587,['경의선'],POINT (126.792587 37.796188)
231,파주,37.815298,126.792783,['경의선'],POINT (126.792783 37.815298)
232,문산,37.854619,126.788047,['경의선'],POINT (126.788047 37.854619)
233,신내,37.612887,127.103218,"['06호선', '경춘선']",POINT (127.103218 37.612887)
234,갈매,37.634118,127.114757,['경춘선'],POINT (127.114757 37.634118)
235,별내,37.64202,127.12684,"['08호선', '경춘선']",POINT (127.12684 37.64202)
236,퇴계원,37.648311,127.143952,['경춘선'],POINT (127.143952 37.648311)
237,사릉,37.65108,127.176933,['경춘선'],POINT (127.176933 37.65108)
238,금곡,37.637382,127.207853,['경춘선'],POINT (127.207853 37.637382)
239,평내호평,37.653225,127.244493,['경춘선'],POINT (127.244493 37.653225)
240,천마산,37.658978,127.285379,['경춘선'],POINT (127.285379 37.658978)
241,마석,37.652782,127.311767,['경춘선'],POINT (127.311767 37.652782)
242,대성리,37.684071,127.379319,['경춘선'],POINT (127.379319 37.684071)
243,청평,37.735488,127.42661,['경춘선'],POINT (127.42661 37.735488)
244,상천,37.770246,127.454821,['경춘선'],POINT (127.454821 37.770246)
245,가평,37.814536,127.510739,['경춘선'],POINT (127.510739 37.814536)
246,굴봉산,37.832067,127.557695,['경춘선'],POINT (127.557695 37.832067)
247,백양리,37.830779,127.58933,['경춘선'],POINT (127.58933 37.830779)
248,강촌,37.805723,127.634146,['경춘선'],POINT (127.634146 37.805723)
249,춘천,37.885054,127.717023,['경춘선'],POINT (127.717023 37.885054)
250,봉명,36.801215,127.135763,['01호선'],POINT (127.135763 36.801215)
252,아산,36.792053,127.104361,['01호선'],POINT (127.104361 36.792053)
253,배방,36.777629,127.052991,['01호선'],POINT (127.052991 36.777629)
254,온양온천,36.780483,127.003249,['01호선'],POINT (127.003249 36.780483)
255,신창,36.769502,126.951108,['01호선'],POINT (126.951108 36.769502)
256,선바위,37.451673,127.002303,['04호선'],POINT (127.002303 37.451673)
257,경마공원,37.443885,127.007888,['04호선'],POINT (127.007888 37.443885)
